Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Mes,Valor,Fecha
2026,26,Sonora,26002,Agua Prieta,La sociedad,Trata de personas,Trata de personas con otros fines,Trata de personas con otros fines,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Aborto,Aborto,Aborto,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Feminicidio,Tentativa de feminicidio,Tentativa de feminicidio,Enero,1,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Enero,0,2026-01-01
