Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Sexo,Rango de edad,Mes,Valor,Fecha
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Mujer,Más de 60 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Despojo,Despojo,Despojo,Mujer,30 a 60 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Fraude,Fraude,Fraude,Mujer,30 a 60 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,No identificado,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Robo,Otros robos,Con violencia,Hombre,30 a 60 años,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Robo,Otros robos,Sin violencia,Mujer,30 a 60 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Robo,Robo a casa habitación,Con violencia,Mujer,30 a 60 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Robo,Robo a negocio,Sin violencia,Hombre,18 a 29 años,Enero,2,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Sin violencia,Hombre,30 a 60 años,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Sin violencia,Mujer,30 a 60 años,Enero,2,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Sin violencia,Mujer,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,El patrimonio,Robo,Robo de vehículo automotor - Motocicleta,Sin violencia,Hombre,30 a 60 años,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Hombre,0 a 12 años,Enero,7,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Hombre,13 a 17 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Hombre,18 a 29 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Mujer,0 a 12 años,Enero,4,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Mujer,13 a 17 años,Enero,4,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,Mujer,13 a 17 años,Enero,1,2026-01-01
